Model,Disabled_Layers,Disabled_Percentage,Trial,Accuracy,Block_Type
Resnet-18,0,0.0,1,99.4140625,none
Resnet-18,1,12.5,1,95.8984375,identity_only
Resnet-18,1,12.5,2,93.359375,identity_only
Resnet-18,1,12.5,3,44.921875,identity_only
Resnet-18,1,12.5,4,91.40625,identity_only
Resnet-18,1,12.5,5,89.6484375,identity_only
Resnet-18,1,12.5,6,8.59375,downsampling
Resnet-18,1,12.5,7,91.40625,identity_only
Resnet-18,1,12.5,8,95.8984375,identity_only
Resnet-18,1,12.5,9,44.921875,identity_only
Resnet-18,1,12.5,10,50.0,downsampling
Resnet-18,1,12.5,11,95.8984375,identity_only
Resnet-18,1,12.5,12,89.6484375,identity_only
Resnet-18,1,12.5,13,89.6484375,identity_only
Resnet-18,1,12.5,14,89.6484375,identity_only
Resnet-18,1,12.5,15,50.0,downsampling
Resnet-18,1,12.5,16,8.59375,downsampling
Resnet-18,1,12.5,17,44.921875,identity_only
Resnet-18,1,12.5,18,93.359375,identity_only
Resnet-18,1,12.5,19,95.8984375,identity_only
Resnet-18,1,12.5,20,89.6484375,identity_only
Resnet-18,1,12.5,21,93.359375,identity_only
Resnet-18,1,12.5,22,93.359375,identity_only
Resnet-18,1,12.5,23,89.6484375,identity_only
Resnet-18,1,12.5,24,91.40625,identity_only
Resnet-18,1,12.5,25,44.921875,identity_only
Resnet-18,1,12.5,26,82.8125,downsampling
Resnet-18,1,12.5,27,95.8984375,identity_only
Resnet-18,1,12.5,28,95.8984375,identity_only
Resnet-18,1,12.5,29,89.6484375,identity_only
Resnet-18,1,12.5,30,91.40625,identity_only
Resnet-18,2,25.0,1,8.203125,downsampling
Resnet-18,2,25.0,2,75.0,identity_only
Resnet-18,2,25.0,3,16.2109375,downsampling
Resnet-18,2,25.0,4,73.828125,downsampling
Resnet-18,2,25.0,5,80.46875,identity_only
Resnet-18,2,25.0,6,8.7890625,downsampling
Resnet-18,2,25.0,7,15.234375,downsampling
Resnet-18,2,25.0,8,73.828125,downsampling
Resnet-18,2,25.0,9,80.46875,identity_only
Resnet-18,2,25.0,10,10.3515625,downsampling
Resnet-18,2,25.0,11,8.203125,downsampling
Resnet-18,2,25.0,12,8.7890625,downsampling
Resnet-18,2,25.0,13,39.0625,downsampling
Resnet-18,2,25.0,14,10.3515625,downsampling
Resnet-18,2,25.0,15,39.0625,downsampling
Resnet-18,2,25.0,16,18.9453125,downsampling
Resnet-18,2,25.0,17,20.1171875,downsampling
Resnet-18,2,25.0,18,6.8359375,downsampling
Resnet-18,2,25.0,19,79.4921875,identity_only
Resnet-18,2,25.0,20,10.3515625,downsampling
Resnet-18,2,25.0,21,32.8125,downsampling
Resnet-18,2,25.0,22,10.3515625,downsampling
Resnet-18,2,25.0,23,15.234375,downsampling
Resnet-18,2,25.0,24,32.8125,downsampling
Resnet-18,2,25.0,25,8.7890625,downsampling
Resnet-18,2,25.0,26,60.546875,downsampling
Resnet-18,2,25.0,27,79.4921875,identity_only
Resnet-18,2,25.0,28,20.1171875,downsampling
Resnet-18,2,25.0,29,20.1171875,downsampling
Resnet-18,2,25.0,30,75.0,identity_only
Resnet-18,3,37.5,1,9.375,downsampling
Resnet-18,3,37.5,2,11.1328125,downsampling
Resnet-18,3,37.5,3,10.15625,downsampling
Resnet-18,3,37.5,4,20.1171875,downsampling
Resnet-18,3,37.5,5,51.3671875,downsampling
Resnet-18,3,37.5,6,24.609375,downsampling
Resnet-18,3,37.5,7,14.2578125,downsampling
Resnet-18,3,37.5,8,8.203125,downsampling
Resnet-18,3,37.5,9,21.875,identity_only
Resnet-18,3,37.5,10,37.890625,downsampling
Resnet-18,3,37.5,11,44.3359375,identity_only
Resnet-18,3,37.5,12,24.609375,downsampling
Resnet-18,3,37.5,13,26.171875,downsampling
Resnet-18,3,37.5,14,26.7578125,downsampling
Resnet-18,3,37.5,15,51.3671875,downsampling
Resnet-18,3,37.5,16,56.25,downsampling
Resnet-18,3,37.5,17,14.6484375,downsampling
Resnet-18,3,37.5,18,7.8125,downsampling
Resnet-18,3,37.5,19,9.375,downsampling
Resnet-18,3,37.5,20,26.171875,downsampling
Resnet-18,3,37.5,21,9.375,downsampling
Resnet-18,3,37.5,22,37.3046875,downsampling
Resnet-18,3,37.5,23,37.890625,downsampling
Resnet-18,3,37.5,24,26.3671875,identity_only
Resnet-18,3,37.5,25,18.359375,downsampling
Resnet-18,3,37.5,26,10.15625,identity_only
Resnet-18,3,37.5,27,15.625,downsampling
Resnet-18,3,37.5,28,51.3671875,downsampling
Resnet-18,3,37.5,29,11.328125,downsampling
Resnet-18,3,37.5,30,9.375,downsampling
Resnet-18,4,50.0,1,8.203125,downsampling
Resnet-18,4,50.0,2,18.1640625,downsampling
Resnet-18,4,50.0,3,18.75,downsampling
Resnet-18,4,50.0,4,9.375,downsampling
Resnet-18,4,50.0,5,8.203125,downsampling
Resnet-18,4,50.0,6,8.203125,downsampling
Resnet-18,4,50.0,7,32.2265625,identity_only
Resnet-18,4,50.0,8,18.75,downsampling
Resnet-18,4,50.0,9,8.203125,downsampling
Resnet-18,4,50.0,10,9.375,downsampling
Resnet-18,4,50.0,11,19.921875,downsampling
Resnet-18,4,50.0,12,42.1875,downsampling
Resnet-18,4,50.0,13,10.9375,downsampling
Resnet-18,4,50.0,14,25.78125,downsampling
Resnet-18,4,50.0,15,9.765625,downsampling
