Model,Disabled_Layers,Disabled_Percentage,Trial,Accuracy
VGG-16,0,0.0,1,99.609375
VGG-16,1,7.6923,1,8.203125
VGG-16,1,7.6923,2,8.203125
VGG-16,1,7.6923,3,8.984375
VGG-16,1,7.6923,4,8.203125
VGG-16,1,7.6923,5,8.0078125
VGG-16,1,7.6923,6,12.5
VGG-16,1,7.6923,7,8.984375
VGG-16,1,7.6923,8,8.0078125
VGG-16,1,7.6923,9,8.0078125
VGG-16,1,7.6923,10,8.0078125
VGG-16,1,7.6923,11,8.203125
VGG-16,1,7.6923,12,8.0078125
VGG-16,1,7.6923,13,8.0078125
VGG-16,1,7.6923,14,8.0078125
VGG-16,1,7.6923,15,10.9375
VGG-16,1,7.6923,16,12.5
VGG-16,1,7.6923,17,8.0078125
VGG-16,1,7.6923,18,12.5
VGG-16,1,7.6923,19,10.9375
VGG-16,1,7.6923,20,8.0078125
VGG-16,1,7.6923,21,12.5
VGG-16,1,7.6923,22,12.5
VGG-16,1,7.6923,23,8.203125
VGG-16,1,7.6923,24,8.203125
VGG-16,1,7.6923,25,8.0078125
VGG-16,1,7.6923,26,12.5
VGG-16,1,7.6923,27,8.0078125
VGG-16,1,7.6923,28,8.0078125
VGG-16,1,7.6923,29,8.0078125
VGG-16,1,7.6923,30,8.203125
VGG-16,2,15.3846,1,8.203125
VGG-16,2,15.3846,2,8.203125
VGG-16,2,15.3846,3,12.5
VGG-16,2,15.3846,4,10.9375
VGG-16,2,15.3846,5,8.984375
VGG-16,2,15.3846,6,8.203125
VGG-16,2,15.3846,7,10.9375
VGG-16,2,15.3846,8,8.203125
VGG-16,2,15.3846,9,12.5
VGG-16,2,15.3846,10,8.984375
VGG-16,2,15.3846,11,8.203125
VGG-16,2,15.3846,12,10.9375
VGG-16,2,15.3846,13,12.5
VGG-16,2,15.3846,14,8.203125
VGG-16,2,15.3846,15,8.203125
VGG-16,2,15.3846,16,8.0078125
VGG-16,2,15.3846,17,12.5
VGG-16,2,15.3846,18,8.203125
VGG-16,2,15.3846,19,8.984375
VGG-16,2,15.3846,20,8.203125
VGG-16,2,15.3846,21,8.203125
VGG-16,2,15.3846,22,8.203125
VGG-16,2,15.3846,23,8.984375
VGG-16,2,15.3846,24,8.203125
VGG-16,2,15.3846,25,10.9375
VGG-16,2,15.3846,26,8.203125
VGG-16,2,15.3846,27,8.203125
VGG-16,2,15.3846,28,12.5
VGG-16,2,15.3846,29,8.0078125
VGG-16,2,15.3846,30,8.0078125
VGG-16,3,23.0769,1,10.9375
VGG-16,3,23.0769,2,8.984375
VGG-16,3,23.0769,3,8.203125
VGG-16,3,23.0769,4,8.0078125
VGG-16,3,23.0769,5,8.203125
VGG-16,3,23.0769,6,8.203125
VGG-16,3,23.0769,7,8.984375
VGG-16,3,23.0769,8,8.203125
VGG-16,3,23.0769,9,8.203125
VGG-16,3,23.0769,10,8.203125
VGG-16,3,23.0769,11,8.203125
VGG-16,3,23.0769,12,8.984375
VGG-16,3,23.0769,13,8.984375
VGG-16,3,23.0769,14,8.203125
VGG-16,3,23.0769,15,8.203125
VGG-16,3,23.0769,16,8.984375
VGG-16,3,23.0769,17,8.984375
VGG-16,3,23.0769,18,10.9375
VGG-16,3,23.0769,19,8.203125
VGG-16,3,23.0769,20,8.203125
VGG-16,3,23.0769,21,8.0078125
VGG-16,3,23.0769,22,8.984375
VGG-16,3,23.0769,23,8.203125
VGG-16,3,23.0769,24,12.5
VGG-16,3,23.0769,25,8.203125
VGG-16,3,23.0769,26,12.5
VGG-16,3,23.0769,27,8.203125
VGG-16,3,23.0769,28,8.203125
VGG-16,3,23.0769,29,8.203125
VGG-16,3,23.0769,30,8.203125
VGG-16,4,30.7692,1,8.984375
VGG-16,4,30.7692,2,8.203125
VGG-16,4,30.7692,3,8.203125
VGG-16,4,30.7692,4,8.203125
VGG-16,4,30.7692,5,8.203125
VGG-16,4,30.7692,6,8.203125
